,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
195,1,0.6,0.6,0.72,0.8,0.08049005412504845,0.8619808928840159,0.4,0.0,0.7027150988578796
196,1,0.6,0.0,0.99,0.4,0.002969217338488093,0.9830484847792502,0.6,0.2,0.9014549255371094
197,1,0.8,1.0,0.96,0.6,0.9989882882905596,0.8690015210469972,1.0,0.6,0.9951600432395936
198,1,1.0,0.2,0.77,0.2,0.9999988991895976,0.9994994796254394,0.2,0.4,0.9848841428756714
199,1,1.0,0.4,0.67,1.0,0.13280592715243605,0.16099483543110835,1.0,0.8,0.951961636543274
200,1,1.0,0.6,0.69,0.4,0.9979296555383879,0.8669383136001455,0.0,0.2,0.9916856288909912
201,1,0.8,0.6,0.69,0.2,0.9999864155721035,0.8011291151040547,0.0,0.6,0.9936324954032898
202,1,0.8,1.0,0.93,0.8,0.9988149372539168,0.9602924454919004,1.0,0.6,0.9547523856163024
203,1,1.0,1.0,0.89,1.0,0.9967238050428092,0.9994379059512574,1.0,1.0,0.6171043515205383
204,1,1.0,0.6,0.89,1.0,0.9997084421316256,0.9982473980080712,1.0,1.0,0.8246537446975708
205,1,0.8,0.6,0.88,1.0,0.6470694910548477,0.9601337606949276,1.0,1.0,0.058666873723268516
206,1,1.0,0.8,0.58,0.6,0.9999767155765592,0.6904629968480226,0.4,1.0,0.9947127699851991
207,1,1.0,1.0,0.99,1.0,0.9999976828990692,0.9943601215860286,1.0,0.8,0.9994639754295348
208,1,1.0,1.0,0.99,1.0,0.999999876863692,0.9978139735750848,1.0,1.0,0.9998687505722046
209,1,0.8,0.6,0.94,0.4,0.9993093601556752,0.4253440312537933,0.4,0.2,0.967793107032776
210,1,0.8,0.8,0.66,1.0,0.9999912336256692,0.9957850844635716,0.4,0.2,0.9968336224555968
211,1,0.2,0.6,0.13,0.2,0.6103898259977788,0.2484066521465415,0.0,0.0,0.12213515490293506
212,1,1.0,0.2,0.58,0.2,0.4027570312174962,0.4560161623310786,0.4,0.6,0.4110817015171051
213,1,0.8,0.0,0.55,0.8,0.7703925891673735,0.9805470795694812,0.6,1.0,0.8218312859535217
214,1,0.8,0.6,0.67,0.6,0.6827570908642756,0.937764684553642,0.8,1.0,0.90224426984787
215,1,1.0,1.0,0.8,1.0,0.9990756965817922,0.94059807808897,1.0,1.0,0.9816395044326782
216,1,0.8,0.4,0.71,0.8,0.9990665014014574,0.9995869688917558,0.4,0.2,0.9982674121856691
217,1,1.0,0.4,0.65,0.8,0.0332629476039037,0.952347611720407,0.0,0.4,0.8955913186073303
218,1,0.6,1.0,0.16,0.2,0.9989077987279332,0.005290683994757482,0.0,0.2,0.9168789386749268
219,1,1.0,1.0,0.93,1.0,0.9999939123744019,0.9985659862026705,1.0,1.0,0.9974974989891052
220,1,0.8,1.0,0.83,1.0,0.9999979450930296,0.99985547567189,0.6,1.0,0.9739409685134888
221,1,0.4,0.4,0.385,0.6,0.8975388410984902,0.4962167132604672,0.2,0.6,0.9943302869796752
222,1,0.8,0.4,0.37,0.6,0.9640937713250292,0.2944365376405103,0.2,0.6,0.7726306915283203
223,1,0.0,0.2,0.52,0.4,0.9736325332516916,0.04765683345981578,0.4,0.0,0.7151118516921997
224,1,0.4,1.0,0.66,1.0,0.9988193856883965,0.9574695257891108,0.8,1.0,0.9941641688346864
